Kecamatan,Desa,Pos Pengungsi,total_pengungsi,jumlah_kk,laki_laki,perempuan,balita_bawah_1th,balita_1_5th,anak_6_12th,anak_laki,anak_perempuan,remaja,remaja_laki,remaja_perempuan,dewasa,dewasa_laki,dewasa_perempuan,lansia,lansia_laki,lansia_perempuan,ibu_hamil,ibu_menyusui,disabilitas,rasio_perempuan,rasio_anak,rasio_lansia,rasio_ibu_hamil_menyusui,rasio_disabilitas,rata_anggota_kk
Cugenang,Cijedil,Poko RW 12,89,55,15,35,0,7,15,7,8,13,7,6,40,15,25,20,10,10,1,7,2,0.3933,0.2472,0.2247,0.0899,0.0225,1.62
Cugenang,Cijedil,Pos palalangon tapal kuda,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
Cugenang,Cijedil,posko kemanusiaan BIN,240,120,120,120,1,10,28,18,10,23,11,12,88,44,44,25,18,7,3,10,0,0.5,0.1625,0.1042,0.0542,0.0,2.0
Cugenang,Cijedil,rt 01 kp banjarpinang,220,143,80,140,25,35,30,12,18,20,15,5,140,50,90,20,7,13,1,20,1,0.6364,0.4091,0.0909,0.0955,0.0045,1.54
Cugenang,Cirumput,kp.tugu,28,9,13,15,0,2,5,2,3,1,1,0,15,7,8,1,0,1,0,0,1,0.5357,0.25,0.0357,0.0,0.0357,3.11
Cugenang,Cirumput,Nagrog Cirumput,13,16,26,37,1,3,10,5,5,6,3,3,36,17,19,2,1,1,0,1,0,2.8462,1.0769,0.1538,0.0769,0.0,0.81
Cugenang,Cirumput,pos 1,101,30,45,56,3,10,14,7,7,18,3,3,47,26,21,7,3,4,0,6,0,0.5545,0.2673,0.0693,0.0594,0.0,3.37
Cugenang,Cirumput,posko rt 4 rw 2 Barulega Cirumput,258,81,107,151,5,20,35,16,19,32,16,16,155,70,85,11,5,6,6,5,0,0.5853,0.2326,0.0426,0.0426,0.0,3.19
Cugenang,Cirumput,Titik 4,79,22,46,33,4,10,13,8,5,5,2,3,32,16,16,7,4,3,0,3,0,0.4177,0.3418,0.0886,0.038,0.0,3.59
Cugenang,Cirumput,yayah,10,2,5,5,0,0,4,2,2,2,1,1,2,1,1,0,0,0,0,0,0,0.5,0.4,0.0,0.0,0.0,5.0
Cugenang,Galudra,Haregem,180,150,85,95,2,8,12,5,7,17,15,2,136,61,75,5,1,4,1,2,0,0.5278,0.1222,0.0278,0.0167,0.0,1.2
Cugenang,Galudra,Pasir Malang,731,205,361,370,23,78,78,41,37,87,47,40,447,226,221,90,45,45,16,21,0,0.5062,0.2449,0.1231,0.0506,0.0,3.57
Cugenang,Galudra,POPONCOL,450,146,233,217,7,18,35,20,15,25,13,12,352,182,170,13,4,9,8,8,0,0.4822,0.1333,0.0289,0.0356,0.0,3.08
Cugenang,Galudra,Posko 2 Haregem,304,90,100,150,15,52,10,5,5,79,44,35,141,75,66,7,2,5,1,38,0,0.4934,0.2533,0.023,0.1283,0.0,3.38
Cugenang,Galudra,POSKO 3 Hareugeum,435,110,236,199,3,4,4,4,4,12,9,3,384,210,174,4,1,3,1,3,0,0.4575,0.0253,0.0092,0.0092,0.0,3.95
Cugenang,Galudra,posko galudra,630,288,374,256,7,35,92,45,47,101,48,53,491,309,182,31,14,17,15,15,0,0.4063,0.2127,0.0492,0.0476,0.0,2.19
Cugenang,Galudra,Posko kondang,603,119,305,298,8,33,32,17,15,55,30,25,457,225,232,18,8,10,0,22,0,0.4942,0.1211,0.0299,0.0365,0.0,5.07
Cugenang,Gasol,Gasol Rt.03/01,17,3,9,7,0,0,11,6,5,11,6,5,8,3,5,1,1,0,0,0,0,0.4118,0.6471,0.0588,0.0,0.0,5.67
Cugenang,Gasol,Kp.munjul rt.01/06,27,8,12,15,0,2,6,4,2,0,0,0,23,11,12,13,7,6,0,2,0,0.5556,0.2963,0.4815,0.0741,0.0,3.38
Cugenang,Gasol,Kp.Nagrog RT.04/01,32,11,20,12,0,4,7,4,3,0,0,0,20,13,7,1,0,1,2,2,0,0.375,0.3438,0.0312,0.125,0.0,2.91
Cugenang,Gasol,kp.pasir angin kulon rt 04 rw 02,15,4,9,6,0,0,3,1,2,0,0,0,5,2,3,3,2,1,0,0,0,0.4,0.2,0.2,0.0,0.0,3.75
Cugenang,Gasol,Munjul2,44,13,25,19,2,4,5,5,0,4,2,2,35,18,17,5,3,2,0,0,0,0.4318,0.25,0.1136,0.0,0.0,3.38
Cugenang,Gasol,Nagrog RT.04/01,33,11,19,12,1,2,5,3,2,2,2,0,33,19,14,1,1,0,0,0,0,0.3636,0.2424,0.0303,0.0,0.0,3.0
